# env/components-creds.example.txt — infra-creds template for 11-reporting (### NN_Service format).
#
# REAL secrets go in env/components-creds.txt (GITIGNORED) — never in this committed
# .example file. Workflow:
#   cp env/components-creds.example.txt env/components-creds.txt
#   $EDITOR env/components-creds.txt        # paste your REAL infra creds (the full ### dump)
#   chmod 600 env/components-creds.txt
#   ./env/init-env.sh .env.dev             # renders env/.env.dev
#
# init-env.sh reads env/components-creds.txt (gitignored). Paste your FULL infra status
# dump (all ### blocks); 11-reporting uses only these:
#   01_PostgreSQL 02_MongoDB 05_Kafka 07_Elastic_APM 11_ClickHouse.
# Other blocks are ignored — including 03_Elasticsearch (:9201), which is the
# search/review business ES used ONLY by 05-search + 08-review. The log-sink ES
# is the APM-stack ES (07_Elastic_APM `elasticsearch` :9200 line + `elastic-pass`).
#
# 11-reporting is VERIFY-ONLY: it does NOT generate JWT keys. Paste 01-auth's PUBLIC
# key + the shared INTERNAL_SERVICE_TOKEN (from 01-auth's rendered .env.dev) into the
# ### Auth_Identity block below.

### 01_PostgreSQL
   host:port      <host>:5432
   user           <user>
   password       <password>

### 02_MongoDB
   endpoint       mongodb://<user>:<password>@<host>:27017/?authSource=admin

### 05_Kafka
   bootstrap      <host>:9092

### 07_Elastic_APM
   elasticsearch  http://elastic:<elastic-pass>@<host>:9200
   apm-ingest     http://<host>:8200  (Bearer token)
   apm-token      <apm-token>
   elastic-pass   <elastic-pass>

### 11_ClickHouse
   http           http://<host>:8123
   password       <password>

### Auth_Identity        # 11-reporting VERIFIES JWTs (never mints) — paste from 01-auth's .env.dev
   auth_service_public_key   <paste 01-auth .env.dev JWT_PUBLIC_KEY_B64>
   internal_service_token    <paste 01-auth .env.dev INTERNAL_SERVICE_TOKEN>
